text	label
now a full time tattoo artist , he meets a young student named sienna ( de rossi ) who secretly works as a bar stripper . 	0
friday after next has the same problem that next friday did -- it's called where's chris tucker when you need him ? 	1
 . . . the plot weaves us into a complex web . 	1
it seems that vince's sister , sara , has shown up too , about 22 years after she was abducted and murdered . 	0
sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness . 	1
sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours . 	1
when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems . 	1
if it takes too many familiar steps , it is still never less than compelling as it walks the well-trod line . 	1
it is the height of the festive holiday season and merry shoppers have begun their yearly pilgrimages to their local malls . 	0
vince runs into julie , an old friend of the family , who teaches art at the local elementary school . 	0
ya-yas everywhere will forgive the flaws and love the film . 	1
harsh , effective documentary on life in the israeli-occupied palestinian territories . 	1
pursued by immigration service and later arrested , he is about to be deported . 	0
this is snappy , frothy screwball comedy awash in french understatement . 	1
and most of the eyewitnesses have rather too conveniently died . 	0
if you thought tom hanks was just an ordinary big-screen star , wait until you've seen him eight stories tall . 	1
fraud feathers and fairies ( one of the stories from the 'red rock' trilogy of stage plays ) is based on the california gold rush era in the mythical town of red rock . 	0
it's a race against the clock as jay must convince kay--who not only has no memory of his time spent with the agency , but is also the only person alive who has the expertise to save the galaxy--to reunite with the mib before earth is destroyed completely . 	0
the cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing . 	1
now , when angered , he turns into a massive green behemoth with the mind of a child . 	0
stands paralyzed , and she is only saved by the intervention of the experienced climber , lasse . 	0
while some will object to the idea of a vietnam picture with such a rah-rah , patriotic tone , soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation . 	1
and that's what you get when sampling the wonderful idiosyncrasies in this love story on espresso . 	0
miyazaki is one of world cinema's most wondrously gifted artists and storytellers . 	1
a triumph , relentless and beautiful in its downbeat darkness . 	1
besides amsterdam , the movie also travels to morocco , to see larry and his love 30 years before , and to the united states , where a&#239 ; sha's family lives . 	0
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless . 	1
he discovers a dark side to the circus and decides to leave , but finds he is caught between his love of a circus girl and the dark hand of the boss who is determined he stays . 	0
if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances . 	1
this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton's ever-watchful gaze -- and it's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one . 	1
you've already seen city by the sea under a variety of titles , but it's worth yet another visit . 	1
based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters	1
as the girls begin to bond , laura gradually begins to find herself abandoning the safety of the fantasy and falling into her first real friendship . 	0
michael baldwin ) after a series of nightmares he had . 	0
that storytelling has value cannot be denied . not even solondz's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it . 	1
the parts are better than the whole ( bizarre , funny , tragic - like love in new york ) . 	1
if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force . 	1
it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van . 	1
if they get caught cheating again stark will make a note in their permanent records and possibly kill their chances of getting into college . 	0
when she understands that the killer is very intelligent and organized , she elaborates a strategy to arrest him . 	0
like other almodï¿½var films , it delights in its scandals . but its sensitivities are extravagant , which means it's one of the most beautiful black comedies ever made . 	1
alenka indulges in the belief that her lover is dead in order to account for his absence . 	0
stranded on a lonely road , a schoolbus full of high school basketball players , their coaches , and cheerleaders must defend themselves from the creeper - a flesh-eating ancient beast that resurfaces on the earth every 23 years to feed . 	0
arrested and imprisoned in a juvenile detention facility , leland comes in contact with an aspiring writer and prison teacher , pearl madison ( cheadle ) . 	0
lindberg demonstrates a remarkable sense of place , a keen understanding that emotions are boiled into a concentrate , not diluted , in the rural setting . 	1
she takes a fancy to chan kwok chan , whom she stalks . 	0
confronted with the reality that jazz has limited commercial appeal , the story focuses on the band's battles with the music industry and one another to find respect and recognition without 'selling out' . 	0
beary , a young bear raised by a human family in a world where humans and talking bears coexist , attempts to trace his roots . 	0
harry potter ( daniel radcliffe ) returns to hogwarts school of wizardry for his second year . 	0
the daughter mary yearns for a home where the books don't always get sold . 	0
